arm,correct_activation,dataset,dot_safe,episode_id,false_activation,gate_active,lambda_hard_learned,lambda_soft_learned,lambda_soft_used,path_index,regime,soft_force_norm,soft_force_perp_norm
learned,0,RELLIS-3D,0.0,00003_001891_05,0,0,0.1035870760679245,0.12148059904575348,0.0,24,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001891_05,0,0,0.1035870760679245,0.12148059904575348,0.0,24,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001891_05,0,0,0.09071756899356842,0.11741816252470016,0.0,36,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001891_05,0,0,0.09071756899356842,0.11741816252470016,0.0,36,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001891_05,0,0,0.09071756899356842,0.11741816252470016,0.0,36,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001891_05,0,0,0.08332924544811249,0.1122499406337738,0.0,48,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001891_05,0,0,0.08332924544811249,0.1122499406337738,0.0,48,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001891_05,0,0,0.08332924544811249,0.1122499406337738,0.0,48,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001891_05,0,0,0.08263453841209412,0.11570020765066147,0.0,60,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001891_05,0,0,0.08263453841209412,0.11570020765066147,0.0,60,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001891_05,0,0,0.08263453841209412,0.11570020765066147,0.0,60,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001891_06,0,0,0.10046258568763733,0.12458373606204987,0.0,0,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001891_06,0,0,0.10046258568763733,0.12458373606204987,0.0,0,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001891_06,0,0,0.10046258568763733,0.12458373606204987,0.0,0,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001891_06,0,0,0.11628449708223343,0.12617279589176178,0.0,12,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001891_06,0,0,0.11628449708223343,0.12617279589176178,0.0,12,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001891_06,0,0,0.11628449708223343,0.12617279589176178,0.0,12,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001891_06,0,0,0.1089695543050766,0.12010383605957031,0.0,24,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001891_06,0,0,0.1089695543050766,0.12010383605957031,0.0,24,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001891_06,0,0,0.1089695543050766,0.12010383605957031,0.0,24,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001891_06,0,0,0.09015455842018127,0.11746398359537125,0.0,36,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001891_06,0,0,0.09015455842018127,0.11746398359537125,0.0,36,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001891_06,0,0,0.09015455842018127,0.11746398359537125,0.0,36,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001891_06,0,0,0.07838235795497894,0.11040866374969482,0.0,48,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001891_06,0,0,0.07838235795497894,0.11040866374969482,0.0,48,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001891_06,0,0,0.07838235795497894,0.11040866374969482,0.0,48,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001891_06,0,0,0.07308103144168854,0.11194493621587753,0.0,60,R3,0.0,0.0
