arm,best_risk,dataset,episode_id,gate_active,lambda_hard_learned,lambda_soft_learned,lambda_soft_used,nominal_risk,regime,stage
fixed,0.0,DFC2018,0000,0,1.3872660398483276,2.2646708488464355,0.0,1.2284270193655782e-06,soft-dominant-test,37
fixed,1.642336286527176e-07,DFC2018,0000,0,1.3856594562530518,2.263901710510254,0.0,6.056811102439497e-06,soft-dominant-test,38
fixed,9.6124921129583e-07,DFC2018,0000,0,1.3863470554351807,2.264392375946045,0.0,1.9804049268638362e-05,soft-dominant-test,39
fixed,1.4108306349847055e-06,DFC2018,0000,0,1.3856148719787598,2.263932704925537,0.0,1.300253169726299e-05,soft-dominant-test,40
fixed,0.0,DFC2018,0000,0,1.3842724561691284,2.2632131576538086,0.0,0.0,soft-dominant-test,41
fixed,0.0,DFC2018,0000,0,1.3767595291137695,2.2890913486480713,0.0,0.0,soft-dominant-test,42
fixed,0.0,DFC2018,0000,0,1.3711572885513306,2.3029956817626953,0.0,0.0,soft-dominant-test,43
fixed,0.0,DFC2018,0000,0,1.372361183166504,2.3035366535186768,0.0,0.0,soft-dominant-test,44
fixed,0.0,DFC2018,0000,0,1.3766664266586304,2.294973850250244,0.0,0.0,soft-dominant-test,45
fixed,0.0,DFC2018,0000,0,1.374739646911621,2.2985262870788574,0.0,0.0,soft-dominant-test,46
fixed,0.0,DFC2018,0000,0,1.3736567497253418,2.30163311958313,0.0,0.0,soft-dominant-test,47
fixed,0.0,DFC2018,0000,0,1.3734095096588135,2.3022775650024414,0.0,0.0,soft-dominant-test,48
fixed,0.0,DFC2018,0000,0,1.3734620809555054,2.302088975906372,0.0,0.0,soft-dominant-test,49
fixed,0.0,DFC2018,0000,0,1.37270188331604,2.3020191192626953,0.0,0.0,soft-dominant-test,50
fixed,0.0,DFC2018,0000,0,1.3731582164764404,2.301929235458374,0.0,0.0,soft-dominant-test,51
fixed,0.0,DFC2018,0000,0,1.373510479927063,2.301894187927246,0.0,0.0,soft-dominant-test,52
fixed,0.0,DFC2018,0000,0,1.3735780715942383,2.301894426345825,0.0,0.0,soft-dominant-test,53
fixed,0.0,DFC2018,0000,0,1.3735495805740356,2.3019001483917236,0.0,0.0,soft-dominant-test,54
fixed,0.0,DFC2018,0000,0,1.3745615482330322,2.301759958267212,0.0,0.0,soft-dominant-test,55
fixed,0.0,DFC2018,0000,0,1.3759641647338867,2.2949912548065186,0.0,0.0,soft-dominant-test,56
fixed,0.0,DFC2018,0000,0,1.3743723630905151,2.29876708984375,0.0,0.0,soft-dominant-test,57
fixed,0.0,DFC2018,0000,0,1.372901201248169,2.3016550540924072,0.0,8.7425814943957e-08,soft-dominant-test,58
