arm,correct_activation,dataset,dot_safe,episode_id,false_activation,gate_active,lambda_hard_learned,lambda_soft_learned,lambda_soft_used,path_index,raw_soft_force_norm,raw_soft_force_perp_norm,regime,soft_force_norm,soft_force_perp_norm
learned,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.045725662261247635,0.08121892064809799,0.0,72,0.00530665647238493,0.0038365365471690893,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.045725662261247635,0.08121892064809799,0.0,72,0.09800653159618378,0.07085546851158142,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.05868266895413399,0.08794940263032913,0.0,78,0.0,0.0,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.05868266895413399,0.08794940263032913,0.0,78,0.05678720772266388,0.055656712502241135,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.05868266895413399,0.08794940263032913,0.0,78,0.9685206413269043,0.9492397308349609,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_04,0,0,0.12135251611471176,0.152072936296463,0.0,0,0.0,0.0,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_04,0,0,0.12135251611471176,0.152072936296463,0.0,0,0.053566962480545044,0.044372983276844025,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_04,0,0,0.12135251611471176,0.152072936296463,0.0,0,0.528367817401886,0.43768125772476196,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_04,0,1,0.11146903783082962,0.13987505435943604,0.0,6,0.0,0.0,R1,0.0,0.0
learned,0,RELLIS-3D,0.01241572480648756,00003_001631_04,0,1,0.11146903783082962,0.13987505435943604,0.13987505435943604,6,0.025842104107141495,0.025690244510769844,R1,0.025842104107141495,0.025690244510769844
fixed,1,RELLIS-3D,0.13314445316791534,00003_001631_04,0,1,0.11146903783082962,0.13987505435943604,1.5,6,0.2771270275115967,0.27549850940704346,R1,0.2771270275115967,0.27549850940704346
zero,0,RELLIS-3D,0.0,00003_001631_04,0,0,0.10789421200752258,0.14062123000621796,0.0,12,0.0,0.0,R1,0.0,0.0
