comparison,dataset,delta_mean_rho,delta_path_length_ratio,delta_risk_exposure,delta_success,episode_id
learned_minus_zero,RELLIS-3D,-2.8458471690306908e-09,7.467002971495162e-07,1.3667205170264651e-05,0.0,00003_000307_06
learned_minus_fixed,RELLIS-3D,1.3529416142965545e-07,-9.20544747851082e-06,-0.00016453944167338364,0.0,00003_000307_06
learned_minus_zero,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000307_07
learned_minus_fixed,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000307_07
learned_minus_zero,RELLIS-3D,3.289280374740855e-07,-1.4204749810842188e-06,-1.706875315221623e-05,0.0,00003_000335_00
learned_minus_fixed,RELLIS-3D,-4.062839442042776e-06,1.5858240150268266e-05,0.0001742298400237985,0.0,00003_000335_00
learned_minus_zero,RELLIS-3D,4.0651589788831544e-07,3.781326818330655e-08,1.5231296643491987e-05,0.0,00003_000335_01
learned_minus_fixed,RELLIS-3D,-4.815542665459471e-06,-3.6421448479373453e-07,-0.00017880590586116796,0.0,00003_000335_01
learned_minus_zero,RELLIS-3D,-1.5894695426510452e-07,-1.4727032220385183e-06,-3.704943500082436e-05,0.0,00003_000335_02
learned_minus_fixed,RELLIS-3D,1.911091956130484e-06,1.8001726507455018e-05,0.0004515561538518398,0.0,00003_000335_02
learned_minus_zero,RELLIS-3D,5.5146491706459244e-08,-1.403460958115943e-06,-2.2510907506045896e-05,0.0,00003_000335_04
learned_minus_fixed,RELLIS-3D,-5.368173276454336e-07,1.4262404895104552e-05,0.0002295743439955089,0.0,00003_000335_04
learned_minus_zero,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000335_05
learned_minus_fixed,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000335_05
learned_minus_zero,RELLIS-3D,1.0473588663018063e-08,1.0316870102666797e-07,2.4773493088048326e-06,0.0,00003_000335_06
learned_minus_fixed,RELLIS-3D,-1.7724216028192075e-07,-2.1789580266773356e-06,-5.064929607812019e-05,0.0,00003_000335_06
learned_minus_zero,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000335_07
learned_minus_fixed,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000335_07
learned_minus_zero,RELLIS-3D,-5.755507404003879e-09,6.091839144239941e-09,-7.525308376443718e-08,0.0,00003_000373_00
learned_minus_fixed,RELLIS-3D,7.753144359856634e-08,-2.2681462363838278e-07,-1.6973403162978684e-06,0.0,00003_000373_00
learned_minus_zero,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000373_01
learned_minus_fixed,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000373_01
learned_minus_zero,RELLIS-3D,-1.9509235399395308e-07,-2.7035072024395035e-06,-7.099402334276306e-05,0.0,00003_000373_02
learned_minus_fixed,RELLIS-3D,1.957211307301865e-06,2.592861665673407e-05,0.0006845982196566069,0.0,00003_000373_02
learned_minus_zero,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000373_05
learned_minus_fixed,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000373_05
learned_minus_zero,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000373_06
learned_minus_fixed,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000373_06
learned_minus_zero,RELLIS-3D,3.45088890796319e-09,-5.8220836818279054e-08,-9.910457094974845e-07,0.0,00003_000373_07
learned_minus_fixed,RELLIS-3D,-1.0049211207618924e-07,6.076549654565611e-07,7.979716290407168e-06,0.0,00003_000373_07
learned_minus_zero,RELLIS-3D,2.821218513249235e-07,-1.2291417398335724e-06,-9.137546228998872e-06,0.0,00003_000381_00
learned_minus_fixed,RELLIS-3D,-2.6608258533733498e-06,1.5674289319367318e-05,0.0001443042547730755,0.0,00003_000381_00
learned_minus_zero,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000381_01
learned_minus_fixed,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000381_01
learned_minus_zero,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000381_03
learned_minus_fixed,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000381_03
learned_minus_zero,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000381_05
learned_minus_fixed,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000381_05
learned_minus_zero,RELLIS-3D,-1.241025218701175e-07,5.982558625161616e-07,7.008336538660842e-06,0.0,00003_000381_07
learned_minus_fixed,RELLIS-3D,1.3116039189187134e-06,-7.954453256076022e-06,-0.00010627292605391858,0.0,00003_000381_07
learned_minus_zero,RELLIS-3D,-7.916733045787439e-07,6.510807882054159e-06,9.022966237282048e-05,0.0,00003_000455_00
learned_minus_fixed,RELLIS-3D,8.570139823804723e-06,-6.907610736861525e-05,-0.0009505310945066014,0.0,00003_000455_00
learned_minus_zero,RELLIS-3D,-4.104805257920674e-07,-2.687150445490616e-07,-2.023312490351259e-05,0.0,00003_000455_01
learned_minus_fixed,RELLIS-3D,4.392651985762885e-06,2.0760878475245548e-06,0.00020198764000056713,0.0,00003_000455_01
learned_minus_zero,RELLIS-3D,-1.0152393786766467e-07,-9.813749320963794e-07,-2.2387675986834665e-05,0.0,00003_000455_03
learned_minus_fixed,RELLIS-3D,1.42035524869355e-06,1.160198802740986e-05,0.00027269938184204534,0.0,00003_000455_03
